dectime	rxtime	totrxpck	droppck	rxpck	uselesspck	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE	faileddec
5.88141 76.4583 45500 0 45500 0 0 0 2500 3500 0
4.9319 64.1148 45500 0 45500 0 0 0 2500 3500 0
4.95497 64.4146 45500 0 45500 0 0 0 2500 3500 0
4.9822 64.7686 45738 0 45500 238 0 0 2500 3500 0
6.09342 79.2144 50826 0 45500 5326 0 0 2500 3500 0
5.10778 66.4011 45500 0 45500 0 0 0 2500 3500 0
6.99777 90.971 48176 0 45500 2676 0 0 2500 3500 0
5.20534 67.6694 45500 0 45500 0 0 0 2500 3500 0
5.06951 65.9036 45500 0 45500 0 0 0 2500 3500 0
4.87184 63.3339 45501 0 45500 1 0 0 2500 3500 0
4.87492 63.374 45504 0 45500 4 0 0 2500 3500 0
4.8977 63.6701 45504 0 45500 4 0 0 2500 3500 0
4.93053 64.0969 45503 0 45500 3 0 0 2500 3500 0
4.9395 64.2135 45507 0 45500 7 0 0 2500 3500 0
5.00314 65.0409 45502 0 45500 2 0 0 2500 3500 0
5.18161 67.361 45509 0 45500 9 0 0 2500 3500 0
5.06633 65.8622 45511 0 45500 11 0 0 2500 3500 0
5.19087 67.4813 45504 0 45500 4 0 0 2500 3500 0
5.13484 66.7529 45506 0 45500 6 0 0 2500 3500 0
5.79181 75.2936 45563 0 45500 63 0 0 2500 3500 0
5.59067 72.6787 46857 0 45500 1357 0 0 2500 3500 0
6.0486 78.6318 50370 0 45500 4870 0 0 2500 3500 0
5.48784 71.3419 45508 0 45500 8 0 0 2500 3500 0
5.19969 67.5959 45503 0 45500 3 0 0 2500 3500 0
6.54583 85.0958 50714 0 45500 5214 0 0 2500 3500 0
6.9926 90.9038 54214 0 52000 2214 0 0 2500 4000 0
6.89841 89.6793 56439 0 52000 4439 0 0 2500 4000 0
7.03886 91.5052 52002 0 52000 2 0 0 2500 4000 0
5.78755 75.2382 52000 0 52000 0 0 0 2500 4000 0
5.80653 75.4849 52004 0 52000 4 0 0 2500 4000 0
5.76807 74.9849 52008 0 52000 8 0 0 2500 4000 0
5.62099 73.0729 52013 0 52000 13 0 0 2500 4000 0
5.82123 75.676 52006 0 52000 6 0 0 2500 4000 0
5.93916 77.209 52014 0 52000 14 0 0 2500 4000 0
5.71994 74.3593 52008 0 52000 8 0 0 2500 4000 0
5.8507 76.0591 52005 0 52000 5 0 0 2500 4000 0
7.29355 65.6419 40502 0 40500 2 0 0 3500 4500 0
6.68745 60.1871 40500 0 40500 0 0 0 3500 4500 0
6.71228 60.4105 40518 0 40500 18 0 0 3500 4500 0
6.70702 60.3632 40507 0 40500 7 0 0 3500 4500 0
6.57216 59.1495 40500 0 40500 0 0 0 3500 4500 0
6.73434 60.609 40500 0 40500 0 0 0 3500 4500 0
6.20438 55.8394 40500 0 40500 0 0 0 3500 4500 0
6.36471 57.2824 40504 0 40500 4 0 0 3500 4500 0
6.40909 57.6818 40500 0 40500 0 0 0 3500 4500 0
6.64691 59.8222 40502 0 40500 2 0 0 3500 4500 0
6.86065 61.7458 40506 0 40500 6 0 0 3500 4500 0
7.15149 64.3634 45000 0 45000 0 0 0 3500 5000 0
7.03604 63.3244 45006 0 45000 6 0 0 3500 5000 0
9.6342 86.7078 45003 0 45000 3 0 0 3500 5000 0
6.96355 62.6719 45000 0 45000 0 0 0 3500 5000 0
7.10673 63.9606 45000 0 45000 0 0 0 3500 5000 0
6.92723 62.3451 45002 0 45000 2 0 0 3500 5000 0
7.02906 63.2615 45003 0 45000 3 0 0 3500 5000 0
7.03988 63.3589 45000 0 45000 0 0 0 3500 5000 0
7.1451 64.3059 45000 0 45000 0 0 0 3500 5000 0
6.97661 62.7895 45000 0 45000 0 0 0 3500 5000 0
7.29346 65.6411 47433 0 45000 2433 0 0 3500 5000 0
8.36179 58.5325 38500 0 38500 0 0 0 4500 5500 0
8.69309 60.8516 38504 0 38500 4 0 0 4500 5500 0
8.28353 57.9847 38500 0 38500 0 0 0 4500 5500 0
8.55113 59.8579 38500 0 38500 0 0 0 4500 5500 0
8.47985 59.3589 38500 0 38500 0 0 0 4500 5500 0
8.35067 58.4547 38500 0 38500 0 0 0 4500 5500 0
8.69939 60.8957 38500 0 38500 0 0 0 4500 5500 0
8.51422 59.5995 38500 0 38500 0 0 0 4500 5500 0
8.26083 57.8258 38500 0 38500 0 0 0 4500 5500 0
8.44598 59.1219 38500 0 38500 0 0 0 4500 5500 0
8.14772 57.034 39088 0 38500 588 0 0 4500 5500 0
8.36609 58.5626 42000 0 42000 0 0 0 4500 6000 0
8.38426 58.6899 42000 0 42000 0 0 0 4500 6000 0
8.28719 58.0103 42000 0 42000 0 0 0 4500 6000 0
8.22111 57.5478 42000 0 42000 0 0 0 4500 6000 0
8.21918 57.5343 42000 0 42000 0 0 0 4500 6000 0
8.17753 57.2427 42000 0 42000 0 0 0 4500 6000 0
8.96782 62.7748 46699 0 42000 4699 0 0 4500 6000 0
8.14061 56.9843 42000 0 42000 0 0 0 4500 6000 0
8.14257 56.998 42000 0 42000 0 0 0 4500 6000 0
8.2881 58.0167 42000 0 42000 0 0 0 4500 6000 0
8.42202 58.9542 42000 0 42000 0 0 0 4500 6000 0
end of operations
8.1496 57.0472 38503 0 38500 3 0 0 4500 5500 0
8.23734 57.6614 38500 0 38500 0 0 0 4500 5500 0
8.28347 57.9843 38504 0 38500 4 0 0 4500 5500 0
8.09574 56.6702 38500 0 38500 0 0 0 4500 5500 0
8.08444 56.5911 38504 0 38500 4 0 0 4500 5500 0
7.99267 55.9487 38502 0 38500 2 0 0 4500 5500 0
8.25392 57.7774 38500 0 38500 0 0 0 4500 5500 0
7.87224 55.1057 38500 0 38500 0 0 0 4500 5500 0
7.93551 55.5486 39088 0 38500 588 0 0 4500 5500 0
8.32594 58.2816 39088 0 38500 588 0 0 4500 5500 0
