sent	infile	time	goodput	throughput	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE
48973 31499 76.6274 4.82417 7.50054 0.0538279 0 2500 3500
47559 31499 64.1963 5.75833 8.69446 0.0352266 0 2500 3500
47689 31499 64.6504 5.71789 8.657 0.0331571 0 2500 3500
47930 31499 65.0688 5.68112 8.64479 0.0308314 0 2500 3500
57795 31499 79.3903 4.65628 8.54364 0.0974476 0 2500 3500
46788 31499 66.6725 5.54447 8.23584 0.0216806 0 2500 3500
57345 31499 91.0968 4.05792 7.38776 0.227178 0 2500 3500
48219 31499 67.92 5.44263 8.33183 0.0485468 0 2500 3500
47750 31499 66.008 5.60029 8.48979 0.0334161 0 2500 3500
45549 31499 63.586 5.8136 8.40693 0.000366575 0 2500 3500
45553 31499 63.4698 5.82425 8.42306 0.000845104 0 2500 3500
45511 31499 63.9397 5.78145 8.35345 9.33536e-05 0 2500 3500
45515 31499 64.2854 5.75035 8.30925 0.00020135 0 2500 3500
45534 31499 64.6706 5.7161 8.26321 0.000280098 0 2500 3500
45588 31499 65.3283 5.65856 8.18973 0.00213235 0 2500 3500
45786 31499 67.731 5.45782 7.93351 0.00615771 0 2500 3500
45518 31499 66.0552 5.59628 8.08716 0.000181229 0 2500 3500
46093 31499 67.6939 5.46081 7.99108 0.0121232 0 2500 3500
45706 31499 66.98 5.51902 8.00845 0.00463763 0 2500 3500
48816 31499 75.4893 4.8969 7.58922 0.074891 0 2500 3500
51397 31499 73.0361 5.06139 8.25887 0.075043 0 2500 3500
53904 31499 78.9617 4.68156 8.0117 0.0911012 0 2500 3500
48705 31499 71.6413 5.15992 7.97866 0.0479637 0 2500 3500
47926 31499 67.9622 5.43925 8.27607 0.0385314 0 2500 3500
57991 31499 85.5674 4.32015 7.95376 0.21691 0 2500 3500
67467 31499 91.4717 4.04129 8.65615 0.0997456 0 2500 4000
64882 31499 89.9872 4.10796 8.46182 0.159959 0 2500 4000
54731 31499 91.8062 4.02657 6.99651 0.0317113 0 2500 4000
54982 31499 75.5812 4.89095 8.53742 0.0392654 0 2500 4000
53928 31499 75.663 4.88566 8.3647 0.0325393 0 2500 4000
52464 31499 75.1498 4.91902 8.1932 0.00356238 0 2500 4000
52144 31499 73.3615 5.03893 8.34173 0.00200976 0 2500 4000
52048 31499 75.978 4.86541 8.03964 0.000721007 0 2500 4000
52671 31499 77.5467 4.76698 7.97128 0.010214 0 2500 4000
52186 31499 74.6338 4.95303 8.20613 0.00364558 0 2500 4000
52470 31499 76.2367 4.84889 8.07731 0.00936528 0 2500 4000
40623 31499 65.8613 5.61276 7.23872 0.00226685 0 3500 4500
40699 31499 60.406 6.11965 7.90722 0.00142098 0 3500 4500
40536 31499 60.5946 6.1006 7.85104 0.000236809 0 3500 4500
40518 31499 60.5339 6.10672 7.85542 0.000221178 0 3500 4500
43274 31499 60.0638 6.15451 8.4554 0.0403383 0 3500 4500
42758 31499 60.7922 6.08078 8.25448 0.0333258 0 3500 4500
