dectime	rxtime	totrxpck	droppck	rxpck	uselesspck	PER_estimate	PER	K_TB_SIZE	N_TB_SIZE	faileddec
3.14832 40.9282 45500 0 45500 0 0 0 2500 3500 0
3.2973 42.8649 47635 0 45500 2135 0 0 2500 3500 0
2.97117 38.6252 45500 0 45500 0 0 0 2500 3500 0
3.17787 41.3123 48351 0 45500 2851 0 0 2500 3500 0
3.00399 39.0519 45500 0 45500 0 0 0 2500 3500 0
3.54496 46.0844 45500 0 45500 0 0 0 2500 3500 0
3.50115 45.5149 45500 0 45500 0 0 0 2500 3500 0
3.26091 42.3919 45500 0 45500 0 0 0 2500 3500 0
3.29344 42.8147 45500 0 45500 0 0 0 2500 3500 0
3.01503 39.1954 45500 0 45500 0 0 0 2500 3500 0
3.56879 46.3943 52000 0 52000 0 0 0 2500 4000 0
4.35891 56.6658 57915 0 52000 5915 0 0 2500 4000 0
3.65556 47.5223 52000 0 52000 0 0 0 2500 4000 0
3.59002 46.6703 52000 0 52000 0 0 0 2500 4000 0
4.15157 53.9704 57490 0 52000 5490 0 0 2500 4000 0
3.978 51.714 58626 0 52000 6626 0 0 2500 4000 0
4.35121 56.5658 60461 0 52000 8461 0 0 2500 4000 0
3.61974 47.0566 52000 0 52000 0 0 0 2500 4000 0
4.04651 52.6047 55365 0 52000 3365 0 0 2500 4000 0
4.30952 56.0237 58332 0 52000 6332 0 0 2500 4000 0
4.30596 55.9775 61544 0 58500 3044 0 0 2500 4500 0
5.14606 66.8988 66563 0 58500 8063 0 0 2500 4500 0
4.54631 59.102 60332 0 58500 1832 0 0 2500 4500 0
4.96688 64.5694 65899 0 58500 7399 0 0 2500 4500 0
4.46097 57.9926 58500 0 58500 0 0 0 2500 4500 0
4.8465 63.0045 66185 0 58500 7685 0 0 2500 4500 0
4.83534 62.8594 66675 0 58500 8175 0 0 2500 4500 0
5.05944 65.7727 67449 0 58500 8949 0 0 2500 4500 0
4.28321 55.6818 58500 0 58500 0 0 0 2500 4500 0
4.46164 58.0014 61999 0 58500 3499 0 0 2500 4500 0
4.69948 42.2953 40500 0 40500 0 0 0 3500 4500 0
5.10797 45.9717 40500 0 40500 0 0 0 3500 4500 0
4.34473 39.1025 40500 0 40500 0 0 0 3500 4500 0
4.56401 41.0761 40500 0 40500 0 0 0 3500 4500 0
4.36909 39.3218 40500 0 40500 0 0 0 3500 4500 0
5.14728 46.3255 40500 0 40500 0 0 0 3500 4500 0
4.82338 43.4104 40500 0 40500 0 0 0 3500 4500 0
5.33422 48.0079 44284 0 40500 3784 0 0 3500 4500 0
5.15799 46.4219 40500 0 40500 0 0 0 3500 4500 0
4.05859 36.5273 40500 0 40500 0 0 0 3500 4500 0
4.28068 38.5261 45000 0 45000 0 0 0 3500 5000 0
4.94188 44.4769 49396 0 45000 4396 0 0 3500 5000 0
5.26229 47.3606 45000 0 45000 0 0 0 3500 5000 0
4.95039 44.5535 45000 0 45000 0 0 0 3500 5000 0
5.52742 49.7468 45000 0 45000 0 0 0 3500 5000 0
4.95111 44.56 45000 0 45000 0 0 0 3500 5000 0
4.88206 43.9385 45000 0 45000 0 0 0 3500 5000 0
4.93135 44.3821 45000 0 45000 0 0 0 3500 5000 0
4.90128 44.1115 45000 0 45000 0 0 0 3500 5000 0
5.78518 52.0666 48943 0 45000 3943 0 0 3500 5000 0
4.70947 42.3852 49500 0 49500 0 0 0 3500 5500 0
5.78208 52.0387 49500 0 49500 0 0 0 3500 5500 0
6.17208 55.5488 49500 0 49500 0 0 0 3500 5500 0
6.69393 60.2454 49500 0 49500 0 0 0 3500 5500 0
7.55399 67.9859 63573 0 49500 14073 0 0 3500 5500 0
6.00283 54.0255 53611 0 49500 4111 0 0 3500 5500 0
5.74904 51.7414 49500 0 49500 0 0 0 3500 5500 0
7.39715 66.5744 58639 0 49500 9139 0 0 3500 5500 0
5.45626 49.1063 49500 0 49500 0 0 0 3500 5500 0
8.55896 77.0306 64769 0 49500 15269 0 0 3500 5500 0
8.96784 62.7749 38500 0 38500 0 0 0 4500 5500 0
7.28182 50.9727 38500 0 38500 0 0 0 4500 5500 0
5.77503 40.4252 38500 0 38500 0 0 0 4500 5500 0
8.53903 59.7732 39968 0 38500 1468 0 0 4500 5500 0
29.7283 208.098 66043 0 38500 27543 0 0 4500 5500 0
7.81075 54.6752 38500 0 38500 0 0 0 4500 5500 0
33.6724 235.707 68401 0 38500 29901 0 0 4500 5500 0
5.78144 40.4701 38500 0 38500 0 0 0 4500 5500 0
5.80221 40.6155 38500 0 38500 0 0 0 4500 5500 0
5.8465 40.9255 38500 0 38500 0 0 0 4500 5500 0
6.63966 46.4776 38598 0 38500 98 0 0 4500 5500 0
6.52076 45.6453 42098 0 42000 98 0 0 4500 6000 0
10.9602 76.7214 56945 0 42000 14945 0 0 4500 6000 0
8.49923 59.4946 42559 0 42000 559 0 0 4500 6000 0
9.33697 65.3588 52360 0 42000 10360 0 0 4500 6000 0
5.76711 40.3698 42000 0 42000 0 0 0 4500 6000 0
5.60192 39.2135 42000 0 42000 0 0 0 4500 6000 0
24.4953 171.467 81146 0 42000 39146 0 0 4500 6000 0
13.9605 97.7237 50617 0 42000 8617 0 0 4500 6000 0
5.39693 37.7785 42000 0 42000 0 0 0 4500 6000 0
6.61627 46.3139 47403 0 42000 5403 0 0 4500 6000 0
5.56478 38.9535 42000 0 42000 0 0 0 4500 6000 0
5.8311 40.8177 45500 0 45500 0 0 0 4500 6500 0
5.56926 38.9848 45500 0 45500 0 0 0 4500 6500 0
6.15572 43.09 46109 0 45500 609 0 0 4500 6500 0
8.10039 56.7027 45500 0 45500 0 0 0 4500 6500 0
7.80987 54.6691 45500 0 45500 0 0 0 4500 6500 0
7.09528 49.667 45500 0 45500 0 0 0 4500 6500 0
7.66206 53.6344 45500 0 45500 0 0 0 4500 6500 0
7.75078 54.2555 45500 0 45500 0 0 0 4500 6500 0
7.16639 50.1647 45500 0 45500 0 0 0 4500 6500 0
7.05168 49.3618 45500 0 45500 0 0 0 4500 6500 0
18.3287 109.972 39098 0 39000 98 0 0 5500 6500 0
8.87524 53.2515 39000 0 39000 0 0 0 5500 6500 0
9.77472 58.6483 39000 0 39000 0 0 0 5500 6500 0
11.7878 70.727 39000 0 39000 0 0 0 5500 6500 0
17.4818 104.891 39098 0 39000 98 0 0 5500 6500 0
9.68875 58.1325 39000 0 39000 0 0 0 5500 6500 0
9.53908 57.2345 39000 0 39000 0 0 0 5500 6500 0
22.899 137.394 75946 0 39000 36946 0 0 5500 6500 0
18.8999 113.4 39000 0 39000 0 0 0 5500 6500 0
8.02544 48.1526 39000 0 39000 0 0 0 5500 6500 0
17.1364 102.818 39000 0 39000 0 0 0 5500 6500 0
6.97421 41.8452 42000 0 42000 0 0 0 5500 7000 0
11.4949 68.9692 48301 0 42000 6301 0 0 5500 7000 0
15.261 91.5659 48270 0 42000 6270 0 0 5500 7000 0
16.674 100.044 43463 0 42000 1463 0 0 5500 7000 0
7.00837 42.0503 42000 0 42000 0 0 0 5500 7000 0
10.3162 61.8971 47026 0 42000 5026 0 0 5500 7000 0
12.7712 76.6271 46839 0 42000 4839 0 0 5500 7000 0
8.3252 49.9512 47634 0 42000 5634 0 0 5500 7000 0
6.45745 38.7447 42000 0 42000 0 0 0 5500 7000 0
6.55402 39.3241 42000 0 42000 0 0 0 5500 7000 0
7.18103 43.0862 45000 0 45000 0 0 0 5500 7500 0
14.6496 87.8978 45000 0 45000 0 0 0 5500 7500 0
6.53939 39.2364 45000 0 45000 0 0 0 5500 7500 0
13.9992 83.9951 45000 0 45000 0 0 0 5500 7500 0
15.4284 92.5705 47031 0 45000 2031 0 0 5500 7500 0
14.8482 89.0893 45000 0 45000 0 0 0 5500 7500 0
15.4316 92.5896 45000 0 45000 0 0 0 5500 7500 0
7.92121 47.5273 51302 0 45000 6302 0 0 5500 7500 0
15.4311 92.5865 45000 0 45000 0 0 0 5500 7500 0
16.2239 97.3434 46679 0 45000 1679 0 0 5500 7500 0
