sent		infile		time		goodput		throughput	PER_estimate
109254		22563		14.4131		25.6478		124.194		0.327289
110460		22563		16.5476		22.3395		109.368		0.328577
110313		22563		20.3162		18.1955		88.9618		0.328721
110841		22563		20.5325		18.0038		88.446		0.329381
110097		22563		13.6946		26.9935		131.719		0.327772
110345		22563		15.8002		23.3962		114.422		0.328697
109864		22563		15.0314		24.5928		119.75		0.329476
110139		22563		16.2731		22.7162		110.889		0.329366
110330		22563		14.9778		24.6807		120.688		0.328985
110312		22563		13.8586		26.674		130.414		0.328621
