sent		infile		time		goodput		throughput	PER_estimate
35232		22563		7.56884		48.8402		76.2655		0.041148
35216		22563		11.4782		32.2058		50.2675		0.0408534
35216		22563		11.0826		33.3553		52.0616		0.0408534
35216		22563		9.01582		41.0017		63.9963		0.0408534
35357		22563		12.3909		29.8335		46.7512		0.0433915
35010		22563		7.95335		46.479		72.121		0.0371103
34472		22563		8.547		43.2507		66.0804		0.0272591
34772		22563		10.9781		33.6727		51.8945		0.0327626
34374		22563		8.50464		43.4661		66.2207		0.0254433
35354		22563		9.77668		37.8108		59.2471		0.0433199
