sent		infile		time		goodput		throughput	PER_estimate
43147		22563		17.0984		21.6197		41.3441		0.208732
43085		22563		16.9159		21.8531		41.7303		0.213937
43320		22563		17.9083		20.642		39.6328		0.213415
43430		22563		18.8102		19.6523		37.8282		0.21788
43387		22563		16.7652		22.0495		42.4005		0.223742
43197		22563		17.0508		21.6801		41.5077		0.216031
43180		22563		18.367		20.1265		38.5181		0.211452
43364		22563		18.4118		20.0775		38.588		0.22573
43108		22563		17.2868		21.3841		40.8566		0.219545
43396		22563		18.5461		19.9321		38.3368		0.20153
