sent		infile		time		goodput		throughput	PER_estimate
32071		22563		6.99157		52.8728		75.155		0.00192982
32097		22563		6.97018		53.035		75.4467		0.00337587
32119		22563		7.13146		51.8356		73.791		0.00552411
32078		22563		6.93998		53.2658		75.7302		0.00774032
32101		22563		7.29822		50.6512		72.0645		0.00557013
32124		22563		7.18302		51.4635		73.2727		0.000466602
32065		22563		7.18734		51.4326		73.0942		0.00484689
32101		22563		7.15137		51.6913		73.5444		0.00212497
32072		22563		7.11526		51.9536		73.8508		0.00267176
32104		22563		6.96666		53.0618		75.5013		0.00504153
sent		infile		time		goodput		throughput	PER_estimate
33995		22563		7.26756		50.8649		76.6384		0.00582578
34072		22563		7.31942		50.5045		76.2678		0.00490731
34092		22563		7.39733		49.9726		75.5088		0.00638815
34072		22563		7.42531		49.7843		75.1801		0.00421356
34031		22563		7.30203		50.6248		76.3574		0.00192478
34135		22563		7.31387		50.5429		76.4668		0.00602601
34116		22563		7.2696		50.8506		76.8896		0.00469524
34002		22563		7.264		50.8898		76.6917		0.00350537
33999		22563		7.27406		50.8194		76.5789		0.00198592
34029		22563		7.2818		50.7654		76.565		0.00398094
